"Make";"Model";"Price";"HP";"Capacity";"Mileage";"Fuel";"Production"
"Peugeot";"307";16300;110;1997;154000;"diesel";2003
"Peugeot";"307";12700;110;1997;137000;"diesel";2004
"Peugeot";"307";19900;90;1600;115000;"diesel";2007
"Peugeot";"307";15900;90;1997;220000;"diesel";2004
"Peugeot";"307";18500;136;1997;147000;"diesel";2005
"Peugeot";"307";13600;110;1587;207000;"gasoline";2004
"Peugeot";"307";29900;90;1600;142990;"diesel";2006
"Peugeot";"307";12900;70;1398;204121;"diesel";2003
"Peugeot";"307";28900;136;1997;146000;"diesel";2006
"Peugeot";"307";9900;136;1997;166000;"diesel";2005
"Peugeot";"307";16938.9;109;1997;168000;"diesel";2004
"Peugeot";"307";23098.5;109;1560;165000;"diesel";2006
"Peugeot";"307";19900;110;1600;68000;"diesel";2006
"Peugeot";"307";23900;110;1600;141000;"diesel";2004
"Peugeot";"307";25900;110;1600;136000;"diesel";2008
"Peugeot";"307";23500;90;1600;157300;"diesel";2007
"Peugeot";"307";18800;90;1997;187450;"diesel";2004
"Peugeot";"307";16900;90;2000;1e+05;"diesel";2005
"Peugeot";"307";19900;136;1997;144000;"diesel";2004
"Peugeot";"307";19900;90;1560;190000;"diesel";2007
"Peugeot";"307";24900;90;1600;79000;"diesel";2006
"Peugeot";"307";26200;90;1560;83000;"diesel";2007
"Peugeot";"307";25493.9;109;1560;146389;"diesel";2006
"Peugeot";"307";20360.9;109;1560;112900;"diesel";2004
"Peugeot";"307";30626.9;109;1560;48656;"diesel";2007
"Peugeot";"307";26900;110;1600;113000;"gasoline";2007
"Peugeot";"307";29900;90;1560;126600;"diesel";2008
"Peugeot";"307";12800;110;1997;242000;"diesel";2003
"Peugeot";"307";17900;110;1587;165000;"gasoline+LPG";2003
"Peugeot";"307";16500;90;1997;190000;"diesel";2004
"Peugeot";"307";29900;136;1997;149000;"diesel";2007
"Peugeot";"307";22700;90;1560;112000;"diesel";2005
"Peugeot";"307";19900;90;1600;119000;"diesel";2006
"Peugeot";"307";14500;90;1997;184000;"diesel";2003
"Peugeot";"307";15000;90;1600;160000;"diesel";2005
"Peugeot";"307";27900;90;1600;110000;"diesel";2007
"Peugeot";"307";12999;90;1997;116000;"diesel";2004
"Peugeot";"307";29999;110;1560;86000;"diesel";2007
"Peugeot";"307";12000;90;2000;188000;"diesel";2004
"Peugeot";"307";16900;110;1997;190000;"diesel";2003
"Peugeot";"307";16500;90;2000;98000;"diesel";2003
"Peugeot";"307";25900;90;1600;115550;"diesel";2007
"Peugeot";"307";26800;109;1560;139970;"diesel";2006
"Peugeot";"307";26500;90;1600;185000;"diesel";2007
"Peugeot";"307";14700;90;2000;275000;"diesel";2004
"Peugeot";"307";15900;90;1997;184000;"diesel";2003
"Peugeot";"307";19990;90;1560;115000;"diesel";2005
"Peugeot";"307";13300;110;1587;165000;"gasoline";2004
"Peugeot";"307";14800;90;1997;118000;"diesel";2004
"Peugeot";"307";25800;110;1587;134000;"gasoline";2007
"Peugeot";"307";13500;110;1587;23000;"gasoline";2006
"Peugeot";"307";16900;110;1997;108200;"diesel";2003
"Peugeot";"307";17900;90;1997;220;"diesel";2004
"Peugeot";"307";27187.79;109;1587;111900;"gasoline";2008
"Peugeot";"307";19676.5;136;1997;182384;"diesel";2004
"Peugeot";"307";23782.9;136;1997;99000;"diesel";2006
"Peugeot";"307";15227.9;109;1587;104685;"gasoline";2005
"Peugeot";"307";14543.5;136;1997;134000;"gasoline";2003
"Peugeot";"307";28915.9;107;1997;127500;"diesel";2004
"Peugeot";"307";16254.5;90;1997;142500;"diesel";2003
"Peugeot";"307";27900;110;1600;149465;"diesel";2006
"Peugeot";"307";20900;109;1600;173482;"diesel";2006
"Peugeot";"307";23782.9;90;1560;123600;"diesel";2007
"Peugeot";"307";28231.5;90;1560;68500;"diesel";2008
"Peugeot";"307";27204.9;90;1560;155723;"diesel";2007
"Peugeot";"307";47736.9;109;1587;26000;"gasoline";2007
"Peugeot";"307";14900;90;1997;100650;"diesel";2003
"Peugeot";"307";24200;109;1600;40000;"gasoline";2006
"Peugeot";"307";16900;90;2000;118000;"diesel";2003
"Peugeot";"307";23098.5;109;1587;145000;"gasoline";2006
"Peugeot";"307";29942.5;109;1560;78592;"diesel";2007
"Peugeot";"307";10999;90;1997;317000;"diesel";2003
"Peugeot";"307";20900;140;2000;144000;"diesel";2005
"Peugeot";"307";24800;110;1560;115600;"diesel";2006
"Peugeot";"307";15900;75;1400;179000;"gasoline";2003
"Peugeot";"307";17900;110;1997;103000;"diesel";2004
"Peugeot";"307";16500;88;1360;162000;"gasoline";2004
"Peugeot";"307";18900;110;1997;175000;"diesel";2004
"Peugeot";"307";21900;110;1560;137022;"diesel";2007
"Peugeot";"307";21100.9075;136;1997;127340;"diesel";2007
"Peugeot";"307";25900;109;1560;176000;"diesel";2006
"Peugeot";"307";12900;110;1997;152000;"diesel";2003
"Peugeot";"307";18900;90;2000;149000;"diesel";2004
"Peugeot";"307";17600;110;1587;146000;"gasoline";2006
"Peugeot";"307";14900;110;1587;126000;"gasoline";2005
"Peugeot";"307";16500;110;1997;149000;"diesel";2003
"Peugeot";"307";18500;110;1587;168000;"gasoline";2003
"Peugeot";"307";26805.7237;90;1560;122500;"diesel";2007
"Peugeot";"307";25665;109;1560;139553;"diesel";2005
"Peugeot";"307";15399;90;1997;153000;"diesel";2004
"Peugeot";"307";30284.7;136;1997;114331;"diesel";2007
"Peugeot";"307";20900;90;1600;107000;"diesel";2007
"Peugeot";"307";23900;110;1560;141234;"diesel";2005
"Peugeot";"307";14700;110;1560;190000;"diesel";2004
"Peugeot";"307";15900;110;1600;159997;"diesel";2006
"Peugeot";"307";27187.79;136;1997;102000;"gasoline";2004
"Peugeot";"307";24952.0263;90;1560;146000;"diesel";2008
"Peugeot";"307";25379.7763;90;1560;153000;"diesel";2008
"Peugeot";"307";20360.9;90;1997;125000;"diesel";2004
"Peugeot";"307";23936.89;88;1360;158478;"gasoline";2008
"Peugeot";"307";15900;110;1997;207251;"diesel";2003
"Peugeot";"307";18600;70;1400;105000;"diesel";2004
"Audi";"A4";29900;130;1900;228176;"diesel";2004
"Audi";"A4";27000;105;1900;245000;"diesel";2004
"Audi";"A4";43000;115;1896;187000;"diesel";2006
"Audi";"A4";58000;140;2000;154000;"diesel";2007
"Audi";"A4";32500;130;2000;148000;"gasoline";2005
"Audi";"A4";65900;143;1968;141000;"diesel";2008
"Audi";"A4";30700;131;1900;156000;"diesel";2004
"Audi";"A4";28000;131;1900;249000;"diesel";2004
